cnpj,razao_social,origem,nota,ativo,prioridade,aliases,site,url_produtos,url_blog,url_carreiras,gupy_slug,linkedin_url
60701190000104,ITAÚ UNIBANCO S.A.,INCUMBENTE,BB,0,3,Itau Unibanco,https://itau-unibanco.com.br,,,,,
32588139000194,J.P. MORGAN CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,J.P. Morgan,https://jpmorgan.com,,,,,
33851205000130,J.P. MORGAN S.A. - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,BB,0,3,J.P. Morgan Dtvm | J.P. Morgan,https://jpmorgan.com,,,,,
45056494000164,JM CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,,https://jmcorretoradecambio.com.br,,,,,
46518205000164,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",INCUMBENTE,BB,0,3,Jpmorgan Chase Bank National Association,,,,,,
63436443000140,KINEL FOREIGN EXCHANGE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Kinel Foreign Exchange,https://tpgroup.com.br,,,,,
01701201000189,KIRTON BANK S.A. - BANCO MÚLTIPLO,INCUMBENTE,B,0,3,Kirton Bank S.A. - Banco Multiplo,,,,,,
06132348000119,LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,BB,0,3,Labor Cambio | Labor Sociedade,https://grupolabor.net,,,,,
71590442000183,LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Lastro Rdv,,,,,,
45457891000148,LEV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,,https://invistalev.com.br,,,,,
50579044000196,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,INCUMBENTE,B,0,3,Levycam - E Valores,https://levycam.com.br,,,,,
24361690000172,LIMINE TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Limine Trust,https://liminedtvm.com.br,,,,,
40768766000135,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Lions Trust,https://lionstrust.com.br,,,,,
15122605000122,LÚMINA CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Lumina,https://luminacorretora.com.br,,,,,
16683062000185,MERCADO BITCOIN CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Mercado Bitcoin,https://2tmgroup.com,,,,,
57671443000121,MERCADO PAGO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,Mercado Pago,https://mercadolivre.com,,,,,
87963450000168,MERCADO PAGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Mercado Pago Investimentos,https://nikos.com.br,,,,,
17364795000110,MERCANTIL DO BRASIL DISTRIBUIDORA S.A. - TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,B,0,3,Mercantil Do Brasil Distribuidora S.A. - Titulos E Valores Mobiliarios,https://mercantil.com.br,,,,,
02670590000195,MERRILL LYNCH S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,B,0,3,Merrill Lynch,https://bofa.com,,,,,
12392983000138,"MIRAE ASSET (BRASIL) CORRETORA DE CÂMBIO, TÍTULOS  E VALORES MOBILIÁRIOS LTDA.",INCUMBENTE,BB,0,3,Mirae Asset (Brasil) Titulos E Valores Mobiliarios,https://miraeinvest.com.br,,,,,
97447304000133,MOMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INCUMBENTE,BB,0,3,Momento,,,,,,
12063256000127,MONETAR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Monetar,https://monetar.com.br,,,,,
08609934000137,MONEYCORP BANCO DE CÂMBIO S.A.,INCUMBENTE,B,0,3,Moneycorp Banco De Cambio,,,,,,
34666362000138,MONOPÓLIO CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Monopolio,https://monopoliocambio.com.br,,,,,
50489148000100,MONTE BRAVO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Monte Bravo,https://montebravo.com.br,,,,,
04323351000194,MORGAN STANLEY CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Morgan Stanley,https://morganstanley.com,,,,,
41592532000142,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Merito Dtvm | Merito,https://meritodtvm.com.br,,,,,
18145784000101,NCC - SOCIEDADE CORRETORA DE CÂMBIO LTDA,INCUMBENTE,B,0,3,Ncc - Sociedade,https://numatur.com.br,,,,,
61723847000199,NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Neon,https://neon.com.br,,,,,
74828799000145,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,INCUMBENTE,B,0,3,Nbc Bank | Novo Banco Continental S.A. - Banco Multiplo,https://nbcbank.com.br,,,,,
62169875000179,NU INVESTIMENTOS S.A. - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,BB,0,3,Nu Investimentos,,,,,,
68742204000131,NUMBER ONE SOCIEDADE CORRETORA DE CAMBIO LTDA.,INCUMBENTE,B,0,3,Number One Sociedade,https://number.com.br,,,,,
36113876000191,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.,INCUMBENTE,BB,0,3,Oliveira Trust,https://oliveiratrust.com.br,,,,,
